,recording,shank,id,label,spike_prop,time_prop
25,es25nov11_3,1.0,20.0,-1.0,0.9683240545210213,0.4316503210272172
26,es25nov11_3,1.0,5.0,-1.0,0.9438810006761326,0.583295818642265
27,es25nov11_3,2.0,16.0,-1.0,0.9913119026933102,0.07672651719603125
28,es25nov11_3,2.0,12.0,-1.0,0.985941150845511,0.06512678404412482
29,es25nov11_3,2.0,5.0,0.0,0.8671865134486677,0.06513222954867888
30,es25nov11_3,2.0,19.0,-1.0,0.9775529192835544,0.06537773840551901
31,es25nov11_3,2.0,3.0,-1.0,0.979064039408867,0.06578020851018779
32,es25nov11_3,3.0,10.0,-1.0,0.9850212601468883,0.06528042652584631
33,es25nov11_3,3.0,9.0,0.0,0.6594810894539822,0.06514429284724961
34,es25nov11_3,3.0,11.0,-1.0,0.9849381387842926,0.06520836646812532
35,es25nov11_3,3.0,4.0,-1.0,0.9895537525354969,0.06600352634260244
36,es25nov11_3,4.0,13.0,-1.0,0.9644951140065147,0.06524663002467282
37,es25nov11_3,4.0,23.0,1.0,0.9733149750852347,0.06512658307921922
38,es25nov11_3,4.0,20.0,-1.0,0.9787253895679762,0.06512725296706116
39,es25nov11_3,4.0,19.0,-1.0,0.957090177673483,0.06513225634857447
40,es25nov11_3,4.0,24.0,1.0,0.9770028880094128,0.06513002309959973
41,es25nov11_3,4.0,21.0,0.0,0.9228992567085206,0.06513787252989861
42,es25nov11_3,4.0,14.0,0.0,0.8617040042335509,0.06514489383943138
43,es25nov11_3,4.0,25.0,1.0,0.963993698897307,0.065133930269094
44,es25nov11_3,4.0,17.0,1.0,0.9635963840703641,0.06517761213614436
45,es25nov11_3,4.0,5.0,0.0,0.8859784283513097,0.06514405044276071
46,es25nov11_3,4.0,11.0,-1.0,0.9515717926932881,0.0653038222561308
47,es25nov11_3,4.0,9.0,-1.0,0.9817784256559767,0.0667221366072777
48,es25nov11_3,4.0,16.0,1.0,0.9712574850299401,0.06676585156202754
49,es25nov11_3,4.0,22.0,-1.0,0.9691011235955056,0.06654885494607239
50,es25nov11_3,4.0,15.0,-1.0,0.9908727895037079,0.31081158140913306
51,es25nov11_5,1.0,9.0,-1.0,0.8565753178220197,0.12314358696592553
52,es25nov11_5,1.0,10.0,-1.0,0.8442784976938282,0.12314501062982892
