,recording,shank,id,label,spike_prop,time_prop
0,es25nov11_3,1.0,17.0,1.0,0.02888086642599278,0.0651393870209752
1,es25nov11_3,1.0,35.0,1.0,0.024177059905949705,0.07670911753888478
2,es25nov11_3,1.0,34.0,1.0,0.0641596396585136,0.06803310667737615
3,es25nov11_3,1.0,27.0,-1.0,0.019750270140473047,0.06523812699070691
4,es25nov11_3,1.0,2.0,-1.0,0.03568844948155293,0.06516331996519548
5,es25nov11_3,1.0,7.0,1.0,0.027421892560125873,0.06586400932850757
6,es25nov11_3,1.0,3.0,-1.0,0.04652056901191849,0.06528901464545765
7,es25nov11_3,1.0,33.0,0.0,0.1763346257083209,0.0652413199903868
8,es25nov11_3,1.0,12.0,0.0,0.062051709758131776,0.0653608112197307
9,es25nov11_3,1.0,11.0,-1.0,0.04228121927236971,0.06517846982103963
10,es25nov11_3,1.0,24.0,0.0,0.06370814048461748,0.06549163869717017
11,es25nov11_3,1.0,36.0,1.0,0.033001885822046974,0.06517133282592225
12,es25nov11_3,1.0,16.0,-1.0,0.03598971722365039,0.06527608340201156
13,es25nov11_3,1.0,10.0,-1.0,0.016771488469601678,0.0653409392388566
14,es25nov11_3,1.0,25.0,-1.0,0.04120267260579064,0.06553343682615599
15,es25nov11_3,1.0,22.0,-1.0,0.04415454089312594,0.0654027217046944
16,es25nov11_3,1.0,15.0,1.0,0.03008595988538682,0.06621517274873581
17,es25nov11_3,1.0,29.0,1.0,0.07263427109974424,0.06561141602384815
18,es25nov11_3,1.0,6.0,-1.0,0.03465909090909091,0.06667610789474421
19,es25nov11_3,1.0,9.0,1.0,0.026019184652278177,0.0694126932947195
20,es25nov11_3,1.0,28.0,0.0,0.22073890096243404,0.06603994617382573
21,es25nov11_3,1.0,26.0,-1.0,0.029508196721311476,0.06669798310921189
22,es25nov11_3,1.0,21.0,-1.0,0.03762376237623762,0.06581751908635329
23,es25nov11_3,1.0,31.0,-1.0,0.02754237288135593,0.0662462315451116
24,es25nov11_3,1.0,18.0,-1.0,0.010589013898080741,0.33686453640570835
25,es25nov11_3,1.0,20.0,-1.0,0.031675945478978694,0.4316503210272172
26,es25nov11_3,1.0,5.0,-1.0,0.05611899932386748,0.583295818642265
27,es25nov11_3,2.0,16.0,-1.0,0.008688097306689836,0.07672651719603125
28,es25nov11_3,2.0,12.0,-1.0,0.01405884915448893,0.06512678404412482
29,es25nov11_3,2.0,5.0,0.0,0.13281348655133224,0.06513222954867888
30,es25nov11_3,2.0,19.0,-1.0,0.022447080716445685,0.06537773840551901
31,es25nov11_3,2.0,3.0,-1.0,0.020935960591133004,0.06578020851018779
32,es25nov11_3,3.0,10.0,-1.0,0.014978739853111713,0.06528042652584631
33,es25nov11_3,3.0,9.0,0.0,0.3405189105460178,0.06514429284724961
34,es25nov11_3,3.0,11.0,-1.0,0.01506186121570737,0.06520836646812532
35,es25nov11_3,3.0,4.0,-1.0,0.010446247464503042,0.06600352634260244
36,es25nov11_3,4.0,13.0,-1.0,0.03550488599348534,0.06524663002467282
37,es25nov11_3,4.0,23.0,1.0,0.026685024914765276,0.06512658307921922
38,es25nov11_3,4.0,20.0,-1.0,0.021274610432023888,0.06512725296706116
39,es25nov11_3,4.0,19.0,-1.0,0.04290982232651693,0.06513225634857447
40,es25nov11_3,4.0,24.0,1.0,0.022997111990587227,0.06513002309959973
41,es25nov11_3,4.0,21.0,0.0,0.07710074329147944,0.06513787252989861
42,es25nov11_3,4.0,14.0,0.0,0.1382959957664491,0.06514489383943138
43,es25nov11_3,4.0,25.0,1.0,0.03600630110269297,0.065133930269094
44,es25nov11_3,4.0,17.0,1.0,0.036403615929635966,0.06517761213614436
45,es25nov11_3,4.0,5.0,0.0,0.1140215716486903,0.06514405044276071
46,es25nov11_3,4.0,11.0,-1.0,0.048428207306711976,0.0653038222561308
47,es25nov11_3,4.0,9.0,-1.0,0.018221574344023325,0.0667221366072777
48,es25nov11_3,4.0,16.0,1.0,0.02874251497005988,0.06676585156202754
49,es25nov11_3,4.0,22.0,-1.0,0.03089887640449438,0.06654885494607239
50,es25nov11_3,4.0,15.0,-1.0,0.00912721049629207,0.31081158140913306
51,es25nov11_5,1.0,9.0,-1.0,0.14342468217798032,0.12314358696592553
52,es25nov11_5,1.0,10.0,-1.0,0.15572150230617177,0.12314501062982892
53,es25nov11_5,1.0,11.0,1.0,0.2524964336661912,0.12315307680074723
54,es25nov11_5,2.0,8.0,1.0,0.16579973992197658,0.12489031742814607
55,es25nov11_5,2.0,11.0,1.0,0.07977528089887641,0.1231851461202459
56,es25nov11_5,2.0,13.0,0.0,0.15798999254764187,0.12314603963512481
57,es25nov11_5,2.0,3.0,1.0,0.08691499522445081,0.12355893474355646
58,es25nov11_5,2.0,10.0,0.0,0.16936216609122298,0.12317123166468671
59,es25nov11_5,2.0,9.0,-1.0,0.04981549815498155,0.12396299133409994
60,es25nov11_5,2.0,12.0,-1.0,0.022727272727272728,0.12494504612617796
61,es25nov11_5,3.0,12.0,-1.0,0.06716646266829865,0.12346186959694185
62,es25nov11_5,3.0,9.0,1.0,0.07032640949554896,0.12318623503856738
63,es25nov11_5,3.0,10.0,1.0,0.1312163758037003,0.12316047853378824
