,recording,shank,id,label,spike_prop,time_prop
0,es25nov11_3,1.0,17.0,1.0,0.9711191335740073,15.351694968790467
1,es25nov11_3,1.0,35.0,1.0,0.9758229400940504,13.036259992080966
2,es25nov11_3,1.0,34.0,1.0,0.9358403603414864,14.698726088493352
3,es25nov11_3,1.0,27.0,-1.0,0.980249729859527,15.328459692634166
4,es25nov11_3,1.0,2.0,-1.0,0.9643115505184471,15.346056654788496
5,es25nov11_3,1.0,7.0,1.0,0.9725781074398742,15.182798772730878
6,es25nov11_3,1.0,3.0,-1.0,0.9534794309880815,15.31651236322607
7,es25nov11_3,1.0,33.0,0.0,0.8236653742916791,15.327709496793569
8,es25nov11_3,1.0,12.0,0.0,0.9379482902418682,15.29968770794764
9,es25nov11_3,1.0,11.0,-1.0,0.9577187807276303,15.34248967098641
10,es25nov11_3,1.0,24.0,0.0,0.9362918595153825,15.269124729401662
11,es25nov11_3,1.0,36.0,1.0,0.966998114177953,15.344169846442739
12,es25nov11_3,1.0,16.0,-1.0,0.9640102827763496,15.319546576368026
13,es25nov11_3,1.0,10.0,-1.0,0.9832285115303984,15.304340764745625
14,es25nov11_3,1.0,25.0,-1.0,0.9587973273942093,15.259385871257644
15,es25nov11_3,1.0,22.0,-1.0,0.955845459106874,15.289883569604157
16,es25nov11_3,1.0,15.0,1.0,0.9699140401146131,15.102278805413102
17,es25nov11_3,1.0,29.0,1.0,0.9273657289002557,15.24125008423114
18,es25nov11_3,1.0,6.0,-1.0,0.9653409090909091,14.997876024476612
19,es25nov11_3,1.0,9.0,1.0,0.9739808153477219,14.406586930060442
20,es25nov11_3,1.0,28.0,0.0,0.779261099037566,15.142350318818703
21,es25nov11_3,1.0,26.0,-1.0,0.9704918032786886,14.992957108801786
22,es25nov11_3,1.0,21.0,-1.0,0.9623762376237623,15.193523151305495
23,es25nov11_3,1.0,31.0,-1.0,0.972457627118644,15.095198272810906
24,es25nov11_3,1.0,18.0,-1.0,0.9894109861019192,2.9685523168150696
25,es25nov11_3,1.0,20.0,-1.0,0.9683240545210213,2.316690041189489
26,es25nov11_3,1.0,5.0,-1.0,0.9438810006761326,1.7143959686316548
27,es25nov11_3,2.0,16.0,-1.0,0.9913119026933102,13.033303694015787
28,es25nov11_3,2.0,12.0,-1.0,0.985941150845511,15.354665744319234
29,es25nov11_3,2.0,5.0,0.0,0.8671865134486677,15.353381988138675
30,es25nov11_3,2.0,19.0,-1.0,0.9775529192835544,15.29572641068267
31,es25nov11_3,2.0,3.0,-1.0,0.979064039408867,15.202140927314389
32,es25nov11_3,3.0,10.0,-1.0,0.9850212601468883,15.318527362931254
33,es25nov11_3,3.0,9.0,0.0,0.6594810894539822,15.350538877516112
34,es25nov11_3,3.0,11.0,-1.0,0.9849381387842926,15.335455466267703
35,es25nov11_3,3.0,4.0,-1.0,0.9895537525354969,15.15070565789669
36,es25nov11_3,4.0,13.0,-1.0,0.9644951140065147,15.32646206588529
37,es25nov11_3,4.0,23.0,1.0,0.9733149750852347,15.354713125109168
38,es25nov11_3,4.0,20.0,-1.0,0.9787253895679762,15.354555189142726
39,es25nov11_3,4.0,19.0,-1.0,0.957090177673483,15.353375670700018
40,es25nov11_3,4.0,24.0,1.0,0.9770028880094128,15.35390212392149
41,es25nov11_3,4.0,21.0,0.0,0.9228992567085206,15.352051904074624
42,es25nov11_3,4.0,14.0,0.0,0.8617040042335509,15.350397261599536
43,es25nov11_3,4.0,25.0,1.0,0.963993698897307,15.352981094010522
44,es25nov11_3,4.0,17.0,1.0,0.9635963840703641,15.342691565796844
45,es25nov11_3,4.0,5.0,0.0,0.8859784283513097,15.350595997690643
46,es25nov11_3,4.0,11.0,-1.0,0.9515717926932881,15.313039351324015
47,es25nov11_3,4.0,9.0,-1.0,0.9817784256559767,14.987529639315014
48,es25nov11_3,4.0,16.0,1.0,0.9712574850299401,14.977716551266766
49,es25nov11_3,4.0,22.0,-1.0,0.9691011235955056,15.026554563716328
50,es25nov11_3,4.0,15.0,-1.0,0.9908727895037079,3.2173833274367665
51,es25nov11_5,1.0,9.0,-1.0,0.8565753178220197,8.120601524111079
52,es25nov11_5,1.0,10.0,-1.0,0.8442784976938282,8.120507642863235
53,es25nov11_5,1.0,11.0,1.0,0.7475035663338089,8.119975773061096
54,es25nov11_5,2.0,8.0,1.0,0.8342002600780234,8.007025849504595
55,es25nov11_5,2.0,11.0,1.0,0.9202247191011236,8.117861864805196
56,es25nov11_5,2.0,13.0,0.0,0.8420100074523581,8.120439788099942
57,es25nov11_5,2.0,3.0,1.0,0.9130850047755492,8.093303831693559
58,es25nov11_5,2.0,10.0,0.0,0.830637833908777,8.118778926578686
59,es25nov11_5,2.0,9.0,-1.0,0.9501845018450185,8.066923758759913
60,es25nov11_5,2.0,12.0,-1.0,0.9772727272727273,8.00351859480793
61,es25nov11_5,3.0,12.0,-1.0,0.9328335373317014,8.099666749455817
62,es25nov11_5,3.0,9.0,1.0,0.9296735905044511,8.117790106069222
63,es25nov11_5,3.0,10.0,1.0,0.8687836241962997,8.119487776475768
64,es25nov11_5,3.0,3.0,0.0,0.8045503130248893,8.11816098347407
65,es25nov11_5,3.0,2.0,1.0,0.9162173372044795,8.117006708884247
66,es25nov11_5,3.0,4.0,-1.0,0.779037935080172,8.114604278456758
67,es25nov11_5,4.0,5.0,1.0,0.9011693700490381,8.115871768254374
68,es25nov11_5,4.0,2.0,-1.0,0.9300254452926209,8.11148017079337
69,es25nov11_5,4.0,9.0,-1.0,0.9446185997910136,8.101699417899225
70,es25nov11_5,4.0,13.0,-1.0,0.9578947368421052,7.9839951992291605
71,es25nov11_5,4.0,12.0,-1.0,0.9106967615309126,7.9881363847280955
72,es25nov11_5,4.0,8.0,-1.0,0.7736686390532544,7.928947883080246
73,es25nov11_12,1.0,5.0,-1.0,0.9582575481993452,16.58275141247845
74,es25nov11_12,1.0,16.0,-1.0,0.9544411877150504,16.575437910497868
75,es25nov11_12,1.0,21.0,1.0,0.9356183804520056,16.585312324681013
76,es25nov11_12,1.0,12.0,-1.0,0.9572402044293016,16.58206784141823
77,es25nov11_12,1.0,18.0,-1.0,0.9395465994962217,16.58077206694993
78,es25nov11_12,1.0,10.0,-1.0,0.958886780518659,16.559355750214973
79,es25nov11_12,1.0,19.0,1.0,0.8943726937269373,16.563033043755265
80,es25nov11_12,1.0,6.0,-1.0,0.9359927879197656,16.581150864488226
81,es25nov11_12,1.0,17.0,-1.0,0.951974760458051,16.581998775948414
82,es25nov11_12,1.0,9.0,-1.0,0.9605528361646991,16.57538318939486
83,es25nov11_12,1.0,8.0,-1.0,0.9492145470195825,16.557481773800653
84,es25nov11_12,2.0,3.0,-1.0,0.9400705052878966,16.582606374991844
85,es25nov11_12,2.0,4.0,-1.0,0.9661861074705111,16.5792372197015
86,es25nov11_12,2.0,7.0,-1.0,0.9616708744549002,16.56817611907417
87,es25nov11_12,2.0,8.0,-1.0,0.9383420872345284,16.56813344015564
88,es25nov11_12,2.0,9.0,-1.0,0.9432397959183674,16.56242633016658
89,es25nov11_12,2.0,6.0,1.0,0.9590272270684642,16.54802122116356
90,es25nov11_12,2.0,2.0,-1.0,0.9360313315926893,16.462873413974513
91,es25nov11_12,3.0,17.0,0.0,0.9218206321047061,16.58621407178947
92,es25nov11_12,3.0,2.0,-1.0,0.94859590671109,16.584705079819482
93,es25nov11_12,3.0,18.0,1.0,0.9487428187719167,16.585180746106463
94,es25nov11_12,3.0,7.0,1.0,0.9505070993914807,16.574271766603683
95,es25nov11_12,3.0,19.0,-1.0,0.9378140391025322,16.584355148105754
96,es25nov11_12,3.0,11.0,1.0,0.9188759278897137,16.585007196977188
97,es25nov11_12,3.0,6.0,1.0,0.9339184305627258,16.585496853449083
98,es25nov11_12,3.0,13.0,1.0,0.9499397566947803,16.584468486312627
99,es25nov11_12,3.0,14.0,1.0,0.9398013444366409,16.584476809587194
100,es25nov11_12,3.0,8.0,1.0,0.951731761238025,16.581756161349322
101,es25nov11_12,3.0,9.0,1.0,0.9395519505600618,16.578075325990067
102,es25nov11_12,3.0,5.0,1.0,0.9707112970711297,16.575488558509065
