,restriction,modality,chunk_size,seed,acc,pyr_acc,in_acc,auc
0,complete,spatial,0.0,0,91.34615384615384,93.97590361445783,80.95238095238095,0.9535283993115319
1,complete,spatial,500.0,0,90.38461538461539,91.56626506024097,85.71428571428571,0.9535283993115319
2,complete,spatial,200.0,0,88.46153846153847,89.1566265060241,85.71428571428571,0.9535283993115319
3,complete,morphological,0.0,0,100.0,100.0,100.0,1.0
4,complete,morphological,500.0,0,97.11538461538461,96.3855421686747,100.0,1.0
5,complete,morphological,200.0,0,98.07692307692308,97.59036144578313,100.0,1.0
6,complete,temporal,0.0,0,91.34615384615384,92.7710843373494,85.71428571428571,0.9802065404475042
7,complete,temporal,500.0,0,93.26923076923077,95.18072289156626,85.71428571428571,0.9802065404475042
8,complete,temporal,200.0,0,93.26923076923077,95.18072289156626,85.71428571428571,0.9802065404475042
9,complete,spat_tempo,0.0,0,96.15384615384616,98.79518072289157,85.71428571428571,0.9942627653471028
10,complete,spat_tempo,500.0,0,96.15384615384616,97.59036144578313,90.47619047619048,0.9942627653471028
11,complete,spat_tempo,200.0,0,98.07692307692308,97.59036144578313,100.0,0.9942627653471028
12,no_small_sample,spatial,0.0,0,93.44262295081967,97.72727272727273,82.3529411764706,0.9411764705882353
13,no_small_sample,spatial,500.0,0,88.52459016393442,90.9090909090909,82.3529411764706,0.9411764705882353
14,no_small_sample,spatial,200.0,0,90.1639344262295,88.63636363636364,94.11764705882354,0.9411764705882353
15,no_small_sample,morphological,0.0,0,100.0,100.0,100.0,1.0
16,no_small_sample,morphological,500.0,0,98.36065573770492,97.72727272727273,100.0,1.0
17,no_small_sample,morphological,200.0,0,98.36065573770492,97.72727272727273,100.0,1.0
18,no_small_sample,temporal,0.0,0,98.36065573770492,100.0,94.11764705882354,0.9919786096256684
19,no_small_sample,temporal,500.0,0,100.0,100.0,100.0,0.9919786096256684
20,no_small_sample,temporal,200.0,0,98.36065573770492,100.0,94.11764705882354,0.9919786096256684
21,no_small_sample,spat_tempo,0.0,0,98.36065573770492,100.0,94.11764705882354,1.0
22,no_small_sample,spat_tempo,500.0,0,98.36065573770492,100.0,94.11764705882354,1.0
23,no_small_sample,spat_tempo,200.0,0,98.36065573770492,100.0,94.11764705882354,1.0
24,complete,spatial,0.0,1,87.5,93.97590361445783,61.904761904761905,0.9248422260470452
25,complete,spatial,500.0,1,90.38461538461539,92.7710843373494,80.95238095238095,0.9248422260470452
26,complete,spatial,200.0,1,92.3076923076923,93.97590361445783,85.71428571428571,0.9248422260470452
27,complete,morphological,0.0,1,99.03846153846153,100.0,95.23809523809524,0.9750430292598967
28,complete,morphological,500.0,1,98.07692307692308,98.79518072289157,95.23809523809524,0.9750430292598967
29,complete,morphological,200.0,1,95.1923076923077,96.3855421686747,90.47619047619048,0.9750430292598967
30,complete,temporal,0.0,1,93.26923076923077,95.18072289156626,85.71428571428571,0.9856569133677567
31,complete,temporal,500.0,1,93.26923076923077,96.3855421686747,80.95238095238095,0.9856569133677567
32,complete,temporal,200.0,1,94.23076923076923,98.79518072289157,76.19047619047619,0.9856569133677567
33,complete,spat_tempo,0.0,1,97.11538461538461,98.79518072289157,90.47619047619048,0.9982788296041308
34,complete,spat_tempo,500.0,1,94.23076923076923,98.79518072289157,76.19047619047619,0.9982788296041308
35,complete,spat_tempo,200.0,1,95.1923076923077,98.79518072289157,80.95238095238095,0.9982788296041308
36,no_small_sample,spatial,0.0,1,75.40983606557377,90.9090909090909,35.294117647058826,0.7606951871657754
37,no_small_sample,spatial,500.0,1,78.68852459016394,90.9090909090909,47.05882352941177,0.7606951871657754
38,no_small_sample,spatial,200.0,1,83.60655737704919,86.36363636363636,76.47058823529412,0.7606951871657754
39,no_small_sample,morphological,0.0,1,96.72131147540983,97.72727272727273,94.11764705882354,0.9592245989304812
40,no_small_sample,morphological,500.0,1,98.36065573770492,100.0,94.11764705882354,0.9592245989304812
41,no_small_sample,morphological,200.0,1,98.36065573770492,100.0,94.11764705882354,0.9592245989304812
42,no_small_sample,temporal,0.0,1,91.80327868852459,90.9090909090909,94.11764705882354,0.9799465240641712
43,no_small_sample,temporal,500.0,1,93.44262295081967,93.18181818181819,94.11764705882354,0.9799465240641712
44,no_small_sample,temporal,200.0,1,93.44262295081967,93.18181818181819,94.11764705882354,0.9799465240641712
45,no_small_sample,spat_tempo,0.0,1,93.44262295081967,95.45454545454545,88.23529411764706,0.981283422459893
46,no_small_sample,spat_tempo,500.0,1,91.80327868852459,95.45454545454545,82.3529411764706,0.981283422459893
47,no_small_sample,spat_tempo,200.0,1,91.80327868852459,95.45454545454545,82.3529411764706,0.981283422459893
48,complete,spatial,0.0,2,90.38461538461539,96.3855421686747,66.66666666666667,0.9357429718875503
49,complete,spatial,500.0,2,90.38461538461539,92.7710843373494,80.95238095238095,0.9357429718875503
50,complete,spatial,200.0,2,90.38461538461539,91.56626506024097,85.71428571428571,0.9357429718875503
51,complete,morphological,0.0,2,100.0,100.0,100.0,1.0
52,complete,morphological,500.0,2,99.03846153846153,98.79518072289157,100.0,1.0
53,complete,morphological,200.0,2,98.07692307692308,98.79518072289157,95.23809523809524,1.0
54,complete,temporal,0.0,2,89.42307692307692,89.1566265060241,90.47619047619048,0.9741824440619622
55,complete,temporal,500.0,2,89.42307692307692,89.1566265060241,90.47619047619048,0.9741824440619622
56,complete,temporal,200.0,2,89.42307692307692,89.1566265060241,90.47619047619048,0.9741824440619622
57,complete,spat_tempo,0.0,2,95.1923076923077,95.18072289156626,95.23809523809524,0.985083189902467
58,complete,spat_tempo,500.0,2,90.38461538461539,91.56626506024097,85.71428571428571,0.985083189902467
59,complete,spat_tempo,200.0,2,94.23076923076923,93.97590361445783,95.23809523809524,0.985083189902467
60,no_small_sample,spatial,0.0,2,80.32786885245902,84.0909090909091,70.58823529411765,0.9064171122994652
61,no_small_sample,spatial,500.0,2,85.24590163934427,88.63636363636364,76.47058823529412,0.9064171122994652
62,no_small_sample,spatial,200.0,2,85.24590163934427,88.63636363636364,76.47058823529412,0.9064171122994652
63,no_small_sample,morphological,0.0,2,100.0,100.0,100.0,1.0
64,no_small_sample,morphological,500.0,2,98.36065573770492,97.72727272727273,100.0,1.0
65,no_small_sample,morphological,200.0,2,98.36065573770492,97.72727272727273,100.0,1.0
66,no_small_sample,temporal,0.0,2,95.08196721311475,95.45454545454545,94.11764705882354,0.9959893048128342
67,no_small_sample,temporal,500.0,2,95.08196721311475,95.45454545454545,94.11764705882354,0.9959893048128342
68,no_small_sample,temporal,200.0,2,93.44262295081967,95.45454545454545,88.23529411764706,0.9959893048128342
69,no_small_sample,spat_tempo,0.0,2,93.44262295081967,95.45454545454545,88.23529411764706,0.9786096256684491
70,no_small_sample,spat_tempo,500.0,2,93.44262295081967,93.18181818181819,94.11764705882354,0.9786096256684491
71,no_small_sample,spat_tempo,200.0,2,91.80327868852459,95.45454545454545,82.3529411764706,0.9786096256684491
72,complete,spatial,0.0,3,91.34615384615384,93.97590361445783,80.95238095238095,0.9162363740676994
73,complete,spatial,500.0,3,88.46153846153847,92.7710843373494,71.42857142857143,0.9162363740676994
74,complete,spatial,200.0,3,88.46153846153847,92.7710843373494,71.42857142857143,0.9162363740676994
75,complete,morphological,0.0,3,99.03846153846153,100.0,95.23809523809524,0.997705106138841
76,complete,morphological,500.0,3,98.07692307692308,98.79518072289157,95.23809523809524,0.997705106138841
77,complete,morphological,200.0,3,99.03846153846153,100.0,95.23809523809524,0.997705106138841
78,complete,temporal,0.0,3,97.11538461538461,98.79518072289157,90.47619047619048,0.9644291451520368
79,complete,temporal,500.0,3,97.11538461538461,98.79518072289157,90.47619047619048,0.9644291451520368
80,complete,temporal,200.0,3,98.07692307692308,98.79518072289157,95.23809523809524,0.9644291451520368
81,complete,spat_tempo,0.0,3,97.11538461538461,97.59036144578313,95.23809523809524,0.9770510613884107
82,complete,spat_tempo,500.0,3,92.3076923076923,95.18072289156626,80.95238095238095,0.9770510613884107
83,complete,spat_tempo,200.0,3,97.11538461538461,97.59036144578313,95.23809523809524,0.9770510613884107
84,no_small_sample,spatial,0.0,3,86.88524590163935,88.63636363636364,82.3529411764706,0.910427807486631
85,no_small_sample,spatial,500.0,3,88.52459016393442,88.63636363636364,88.23529411764706,0.910427807486631
86,no_small_sample,spatial,200.0,3,88.52459016393442,90.9090909090909,82.3529411764706,0.910427807486631
87,no_small_sample,morphological,0.0,3,100.0,100.0,100.0,1.0
88,no_small_sample,morphological,500.0,3,100.0,100.0,100.0,1.0
89,no_small_sample,morphological,200.0,3,100.0,100.0,100.0,1.0
90,no_small_sample,temporal,0.0,3,86.88524590163935,95.45454545454545,64.70588235294117,0.9625668449197861
