,restriction,modality,chunk_size,seed,acc,pyr_acc,in_acc,auc,fpr,tpr,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,feature 17,feature 18,feature 19,feature 20,feature 21,feature 22,feature 23,feature 24,feature 25,feature 26,feature 27,feature 28,feature 29
0,complete,spatial,0.0,0,85.57692307692308,96.3855421686747,42.857142857142854,0.8238668961560527,"[0.         0.         0.         0.14285714 0.14285714 0.19047619
 0.19047619 0.23809524 0.23809524 0.28571429 0.28571429 0.33333333
 0.33333333 0.42857143 0.42857143 0.52380952 0.52380952 0.57142857
 0.57142857 1.         1.        ]","[0.         0.01204819 0.30120482 0.30120482 0.4939759  0.4939759
 0.73493976 0.73493976 0.81927711 0.81927711 0.86746988 0.86746988
 0.90361446 0.90361446 0.91566265 0.91566265 0.95180723 0.95180723
 0.98795181 0.98795181 1.        ]",0.03362913604348305,0.07572051402311067,0.05487778202124854,0.04927971350892029,0.05200959160268771,0.05708472994937355,0.04407933442339271,0.08398499797931563,0.09937973254879505,0.16937893974168658,0.1498753466337265,0.055368905175139205,0.0753312763491203,,,,,,,,,,,,,,,,
1,complete,spatial,500.0,0,81.73076923076923,89.1566265060241,52.38095238095238,0.8221457257601836,"[0.         0.         0.         0.04761905 0.04761905 0.14285714
 0.14285714 0.19047619 0.19047619 0.23809524 0.23809524 0.33333333
 0.33333333 0.42857143 0.42857143 0.47619048 0.47619048 0.57142857
 0.57142857 0.61904762 0.61904762 0.66666667 0.66666667 0.80952381
 0.80952381 0.9047619  0.9047619  1.        ]","[0.         0.01204819 0.27710843 0.27710843 0.4939759  0.4939759
 0.6746988  0.6746988  0.68674699 0.68674699 0.80722892 0.80722892
 0.84337349 0.84337349 0.85542169 0.85542169 0.89156627 0.89156627
 0.90361446 0.90361446 0.95180723 0.95180723 0.96385542 0.96385542
 0.97590361 0.97590361 1.         1.        ]",0.04708529834581779,0.11560247438255257,0.025701002198503405,0.020670771039246985,0.0457798849810821,0.04851232100794219,0.05337989440568277,0.09329203209096554,0.09709430755458862,0.14612835918760742,0.13414477835325792,0.06222514058847137,0.11038373586428127,,,,,,,,,,,,,,,,
2,complete,spatial,200.0,0,83.65384615384616,89.1566265060241,61.904761904761905,0.8376362593230063,"[0.         0.         0.         0.04761905 0.04761905 0.0952381
 0.0952381  0.23809524 0.23809524 0.28571429 0.28571429 0.33333333
 0.33333333 0.38095238 0.38095238 0.47619048 0.47619048 0.57142857
 0.57142857 0.61904762 0.61904762 0.66666667 0.66666667 0.71428571
 0.71428571 0.9047619  0.9047619  1.        ]","[0.         0.01204819 0.31325301 0.31325301 0.5060241  0.5060241
 0.69879518 0.69879518 0.73493976 0.73493976 0.77108434 0.77108434
 0.81927711 0.81927711 0.89156627 0.89156627 0.91566265 0.91566265
 0.92771084 0.92771084 0.93975904 0.93975904 0.96385542 0.96385542
 0.97590361 0.97590361 1.         1.        ]",0.057872002083005934,0.12190029939065702,0.02988849895834471,0.016223087227844532,0.04718815419720175,0.04946368066469493,0.05613839459061077,0.0834808252506188,0.08912105894322568,0.14868369085561142,0.13110621688143734,0.06757698564572276,0.10135710531102442,,,,,,,,,,,,,,,,
3,complete,temporal,0.0,0,89.42307692307692,91.56626506024097,80.95238095238095,0.9684452094090649,"[0.         0.         0.         0.         0.         0.
 0.         0.04761905 0.04761905 0.19047619 0.19047619 0.23809524
 0.23809524 0.28571429 0.28571429 0.33333333 0.33333333 1.        ]","[0.         0.4939759  0.5060241  0.60240964 0.61445783 0.63855422
 0.78313253 0.78313253 0.89156627 0.89156627 0.93975904 0.93975904
 0.96385542 0.96385542 0.97590361 0.97590361 1.         1.        ]",,,,,,,,,,,,,,,,,,,,,,,0.1331472766533708,0.24076240669233334,0.027574123488236447,0.04747814816037145,0.05231352711515546,0.17892533139570554,0.319799186494827
4,complete,temporal,500.0,0,91.34615384615384,95.18072289156626,76.19047619047619,0.9833620195065979,"[0.         0.         0.         0.04761905 0.04761905 0.19047619
 0.19047619 0.23809524 0.23809524 0.28571429 0.28571429 1.        ]","[0.         0.22891566 0.90361446 0.90361446 0.93975904 0.93975904
 0.95180723 0.95180723 0.97590361 0.97590361 1.         1.        ]",,,,,,,,,,,,,,,,,,,,,,,0.05311836278494617,0.16779116074697573,0.22915289867580346,0.0869158989962604,0.048695703482444765,0.15796360387310598,0.25636237144046337
5,complete,temporal,200.0,0,92.3076923076923,95.18072289156626,80.95238095238095,0.9868043602983362,"[0.         0.         0.         0.19047619 0.19047619 0.23809524
 0.23809524 1.        ]","[0.         0.10843373 0.93975904 0.93975904 0.96385542 0.96385542
 1.         1.        ]",,,,,,,,,,,,,,,,,,,,,,,0.0519347075480012,0.1318777263142983,0.26103405784093153,0.11889193950338163,0.05017263289100543,0.12831056897406967,0.25777836692831224
6,complete,morphological,0.0,0,98.07692307692308,97.59036144578313,100.0,0.9965576592082617,"[0.         0.         0.         0.         0.         0.14285714
 0.14285714 1.        ]","[0.         0.09638554 0.3373494  0.36144578 0.97590361 0.97590361
 1.         1.        ]",,,,,,,,,,,,,,0.05527678805508906,0.15807727401083319,0.055270093358263696,0.03398645295418946,0.14063515219590328,0.4332194431251737,0.08413924143003321,0.039395554870514486,,,,,,,,
7,complete,morphological,500.0,0,99.03846153846153,98.79518072289157,100.0,0.9982788296041307,"[0.         0.         0.         0.14285714 0.14285714 0.85714286
 1.        ]","[0.         0.3373494  0.98795181 0.98795181 1.         1.
 1.        ]",,,,,,,,,,,,,,0.06425896385568738,0.15835861685462524,0.10900080907218776,0.030463788118103612,0.11288661722224053,0.40855968291890354,0.08455998259318738,0.03191153936506457,,,,,,,,
8,complete,morphological,200.0,0,99.03846153846153,98.79518072289157,100.0,0.9994262765347102,[0.         0.         0.         0.04761905 0.04761905 1.        ],[0.         0.01204819 0.98795181 0.98795181 1.         1.        ],,,,,,,,,,,,,,0.06783063731095333,0.16670182322477028,0.11125001192275068,0.02988283685470274,0.12286059278986222,0.399610346262298,0.07800182160011038,0.023861930034552205,,,,,,,,
9,complete,spatial,0.0,1,86.53846153846153,95.18072289156626,52.38095238095238,0.8714859437751004,"[0.         0.         0.         0.04761905 0.04761905 0.0952381
 0.0952381  0.14285714 0.14285714 0.19047619 0.19047619 0.23809524
 0.23809524 0.28571429 0.28571429 0.38095238 0.38095238 0.42857143
 0.42857143 0.47619048 0.47619048 1.         1.        ]","[0.         0.01204819 0.53012048 0.53012048 0.57831325 0.57831325
 0.59036145 0.59036145 0.72289157 0.72289157 0.74698795 0.74698795
 0.77108434 0.77108434 0.87951807 0.87951807 0.91566265 0.91566265
 0.95180723 0.95180723 0.97590361 0.97590361 1.        ]",0.024111563641026748,0.08348239128279651,0.06283261439125216,0.050475882008315806,0.06794599753632631,0.05355417764287023,0.03945671183385195,0.06758601754731403,0.09903075110694408,0.18669768913810678,0.1551691026912078,0.04637731148226531,0.06327978969772234,,,,,,,,,,,,,,,,
