,restriction,modality,chunk_size,seed,acc,pyr_acc,in_acc,auc
0,complete,spatial,0,0,96.15384615,98.79518072,85.71428571,0.922547332
1,complete,spatial,500,0,88.46153846,90.36144578,80.95238095,0.962707975
2,complete,spatial,200,0,89.42307692,89.15662651,90.47619048,0.957544464
3,complete,morphological,0,0,100,100,100,1
4,complete,morphological,500,0,97.11538462,96.38554217,100,0.99827883
5,complete,morphological,200,0,98.07692308,97.59036145,100,0.99827883
6,complete,temporal,0,0,92.30769231,93.97590361,85.71428571,0.969305795
7,complete,temporal,500,0,93.26923077,96.38554217,80.95238095,0.978198508
8,complete,temporal,200,0,95.19230769,97.59036145,85.71428571,0.981067126
9,complete,spat_tempo,0,0,92.30769231,98.79518072,66.66666667,0.990820425
10,complete,spat_tempo,500,0,97.11538462,97.59036145,95.23809524,0.992541595
11,complete,spat_tempo,200,0,99.03846154,98.79518072,100,0.993689042
12,no_small_sample,spatial,0,0,91.80327869,95.45454545,82.35294118,0.927807487
13,no_small_sample,spatial,500,0,90.16393443,93.18181818,82.35294118,0.965240642
14,no_small_sample,spatial,200,0,93.44262295,93.18181818,94.11764706,0.975935829
15,no_small_sample,morphological,0,0,100,100,100,1
16,no_small_sample,morphological,500,0,96.72131148,95.45454545,100,1
17,no_small_sample,morphological,200,0,98.36065574,97.72727273,100,1
18,no_small_sample,temporal,0,0,96.72131148,100,88.23529412,0.99197861
19,no_small_sample,temporal,500,0,98.36065574,100,94.11764706,1
20,no_small_sample,temporal,200,0,95.08196721,100,82.35294118,1
21,no_small_sample,spat_tempo,0,0,96.72131148,97.72727273,94.11764706,0.998663102
22,no_small_sample,spat_tempo,500,0,98.36065574,100,94.11764706,0.998663102
23,no_small_sample,spat_tempo,200,0,98.36065574,100,94.11764706,0.998663102
24,complete,spatial,0,1,86.53846154,93.97590361,57.14285714,0.907630522
25,complete,spatial,500,1,89.42307692,93.97590361,71.42857143,0.936890419
26,complete,spatial,200,1,87.5,90.36144578,76.19047619,0.94205393
27,complete,morphological,0,1,99.03846154,100,95.23809524,0.997418244
28,complete,morphological,500,1,96.15384615,96.38554217,95.23809524,0.994836489
29,complete,morphological,200,1,96.15384615,98.79518072,85.71428571,0.994262765
30,complete,temporal,0,1,94.23076923,98.79518072,76.19047619,0.979345955
31,complete,temporal,500,1,92.30769231,95.18072289,80.95238095,0.978772232
32,complete,temporal,200,1,94.23076923,98.79518072,76.19047619,0.969018933
33,complete,spat_tempo,0,1,94.23076923,96.38554217,85.71428571,0.984509466
34,complete,spat_tempo,500,1,96.15384615,97.59036145,90.47619048,0.981640849
35,complete,spat_tempo,200,1,96.15384615,98.79518072,85.71428571,0.983935743
36,no_small_sample,spatial,0,1,80.32786885,97.72727273,35.29411765,0.788770053
37,no_small_sample,spatial,500,1,81.96721311,95.45454545,47.05882353,0.827540107
38,no_small_sample,spatial,200,1,80.32786885,88.63636364,58.82352941,0.872994652
39,no_small_sample,morphological,0,1,98.36065574,100,94.11764706,0.998663102
40,no_small_sample,morphological,500,1,98.36065574,100,94.11764706,1
41,no_small_sample,morphological,200,1,100,100,100,1
42,no_small_sample,temporal,0,1,88.52459016,90.90909091,82.35294118,0.978609626
43,no_small_sample,temporal,500,1,95.08196721,93.18181818,100,0.993315508
44,no_small_sample,temporal,200,1,91.80327869,90.90909091,94.11764706,0.989304813
45,no_small_sample,spat_tempo,0,1,91.80327869,93.18181818,88.23529412,0.981283422
46,no_small_sample,spat_tempo,500,1,95.08196721,95.45454545,94.11764706,0.978609626
47,no_small_sample,spat_tempo,200,1,91.80327869,95.45454545,82.35294118,0.97459893
48,complete,spatial,0,2,88.46153846,96.38554217,57.14285714,0.919678715
49,complete,spatial,500,2,86.53846154,90.36144578,71.42857143,0.92713712
50,complete,spatial,200,2,87.5,89.15662651,80.95238095,0.94205393
51,complete,morphological,0,2,100,100,100,1
52,complete,morphological,500,2,99.03846154,100,95.23809524,1
53,complete,morphological,200,2,99.03846154,100,95.23809524,1
54,complete,temporal,0,2,92.30769231,92.77108434,90.47619048,0.959552496
55,complete,temporal,500,2,90.38461538,90.36144578,90.47619048,0.95697074
56,complete,temporal,200,2,93.26923077,93.97590361,90.47619048,0.954102123
57,complete,spat_tempo,0,2,94.23076923,95.18072289,90.47619048,0.973034997
58,complete,spat_tempo,500,2,93.26923077,93.97590361,90.47619048,0.971313827
59,complete,spat_tempo,200,2,94.23076923,93.97590361,95.23809524,0.975903614
60,no_small_sample,spatial,0,2,80.32786885,90.90909091,52.94117647,0.862299465
61,no_small_sample,spatial,500,2,80.32786885,84.09090909,70.58823529,0.874331551
62,no_small_sample,spatial,200,2,85.24590164,88.63636364,76.47058824,0.905080214
63,no_small_sample,morphological,0,2,100,100,100,1
64,no_small_sample,morphological,500,2,100,100,100,1
65,no_small_sample,morphological,200,2,100,100,100,1
