,restriction,modality,chunk_size,seed,acc,pyr_acc,in_acc,auc
0,complete,spatial,0.0,0,92.3076923076923,95.18072289156626,80.95238095238095,0.0
1,complete,spatial,500.0,0,93.26923076923077,96.3855421686747,80.95238095238095,0.0
2,complete,spatial,200.0,0,75.96153846153847,75.90361445783132,76.19047619047619,0.0
3,complete,morphological,0.0,0,100.0,100.0,100.0,0.0
4,complete,morphological,500.0,0,96.15384615384616,95.18072289156626,100.0,0.0
5,complete,morphological,200.0,0,96.15384615384616,95.18072289156626,100.0,0.0
6,complete,temporal,0.0,0,92.3076923076923,91.56626506024097,95.23809523809524,0.0
7,complete,temporal,500.0,0,94.23076923076923,97.59036144578313,80.95238095238095,0.0
8,complete,temporal,200.0,0,88.46153846153847,93.97590361445783,66.66666666666667,0.0
9,complete,spat_tempo,0.0,0,95.1923076923077,98.79518072289157,80.95238095238095,0.0
10,complete,spat_tempo,500.0,0,95.1923076923077,97.59036144578313,85.71428571428571,0.0
11,complete,spat_tempo,200.0,0,88.46153846153847,89.1566265060241,85.71428571428571,0.0
12,no_small_sample,spatial,0.0,0,93.44262295081967,95.45454545454545,88.23529411764706,0.0
13,no_small_sample,spatial,500.0,0,67.21311475409836,75.0,47.05882352941177,0.0
14,no_small_sample,spatial,200.0,0,81.9672131147541,79.54545454545455,88.23529411764706,0.0
15,no_small_sample,morphological,0.0,0,100.0,100.0,100.0,0.0
16,no_small_sample,morphological,500.0,0,98.36065573770492,97.72727272727273,100.0,0.0
17,no_small_sample,morphological,200.0,0,98.36065573770492,97.72727272727273,100.0,0.0
18,no_small_sample,temporal,0.0,0,93.44262295081967,95.45454545454545,88.23529411764706,0.0
19,no_small_sample,temporal,500.0,0,11.475409836065573,11.363636363636363,11.764705882352942,0.0
20,no_small_sample,temporal,200.0,0,14.754098360655737,15.909090909090908,11.764705882352942,0.0
21,no_small_sample,spat_tempo,0.0,0,96.72131147540983,100.0,88.23529411764706,0.0
22,no_small_sample,spat_tempo,500.0,0,86.88524590163935,88.63636363636364,82.3529411764706,0.0
23,no_small_sample,spat_tempo,200.0,0,83.60655737704919,95.45454545454545,52.94117647058823,0.0
24,complete,spatial,0.0,1,88.46153846153847,92.7710843373494,71.42857142857143,0.0
25,complete,spatial,500.0,1,86.53846153846153,89.1566265060241,76.19047619047619,0.0
26,complete,spatial,200.0,1,88.46153846153847,89.1566265060241,85.71428571428571,0.0
27,complete,morphological,0.0,1,97.11538461538461,100.0,85.71428571428571,0.0
28,complete,morphological,500.0,1,94.23076923076923,96.3855421686747,85.71428571428571,0.0
29,complete,morphological,200.0,1,94.23076923076923,96.3855421686747,85.71428571428571,0.0
30,complete,temporal,0.0,1,93.26923076923077,95.18072289156626,85.71428571428571,0.0
31,complete,temporal,500.0,1,18.26923076923077,7.228915662650603,61.904761904761905,0.0
32,complete,temporal,200.0,1,20.192307692307693,13.25301204819277,47.61904761904762,0.0
33,complete,spat_tempo,0.0,1,96.15384615384616,98.79518072289157,85.71428571428571,0.0
34,complete,spat_tempo,500.0,1,97.11538461538461,98.79518072289157,90.47619047619048,0.0
35,complete,spat_tempo,200.0,1,95.1923076923077,97.59036144578313,85.71428571428571,0.0
36,no_small_sample,spatial,0.0,1,81.9672131147541,93.18181818181819,52.94117647058823,0.0
37,no_small_sample,spatial,500.0,1,75.40983606557377,77.27272727272727,70.58823529411765,0.0
38,no_small_sample,spatial,200.0,1,50.81967213114754,56.81818181818182,35.294117647058826,0.0
39,no_small_sample,morphological,0.0,1,98.36065573770492,100.0,94.11764705882354,0.0
40,no_small_sample,morphological,500.0,1,98.36065573770492,100.0,94.11764705882354,0.0
41,no_small_sample,morphological,200.0,1,96.72131147540983,97.72727272727273,94.11764705882354,0.0
42,no_small_sample,temporal,0.0,1,96.72131147540983,95.45454545454545,100.0,0.0
43,no_small_sample,temporal,500.0,1,59.01639344262295,77.27272727272727,11.764705882352942,0.0
44,no_small_sample,temporal,200.0,1,47.540983606557376,50.0,41.1764705882353,0.0
45,no_small_sample,spat_tempo,0.0,1,91.80327868852459,97.72727272727273,76.47058823529412,0.0
46,no_small_sample,spat_tempo,500.0,1,95.08196721311475,95.45454545454545,94.11764705882354,0.0
47,no_small_sample,spat_tempo,200.0,1,93.44262295081967,93.18181818181819,94.11764705882354,0.0
