modality,chunk_size,seed,acc,auc,region
morphological,800.0,5,98.41269841269842,0.995943204868154,ncx
morphological,1600.0,5,98.41269841269842,0.9969574036511156,ncx
spatial,0.0,6,53.96825396825397,0.6774847870182554,ncx
spatial,100.0,6,61.904761904761905,0.7079107505070992,ncx
spatial,200.0,6,60.317460317460316,0.6460446247464503,ncx
spatial,400.0,6,58.73015873015873,0.6359026369168357,ncx
spatial,800.0,6,53.96825396825397,0.6348884381338743,ncx
spatial,1600.0,6,60.317460317460316,0.6713995943204868,ncx
temporal,0.0,6,61.904761904761905,0.7363083164300203,ncx
temporal,100.0,6,57.14285714285714,0.6490872210953347,ncx
temporal,200.0,6,65.07936507936508,0.731237322515213,ncx
temporal,400.0,6,73.01587301587301,0.7434077079107504,ncx
temporal,800.0,6,68.25396825396825,0.7444219066937119,ncx
temporal,1600.0,6,68.25396825396825,0.7444219066937118,ncx
morphological,0.0,6,96.82539682539681,0.9949290060851926,ncx
morphological,100.0,6,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,6,98.41269841269842,0.9959432048681542,ncx
morphological,400.0,6,98.41269841269842,0.9979716024340772,ncx
morphological,800.0,6,98.41269841269842,0.997971602434077,ncx
morphological,1600.0,6,98.41269841269842,0.9949290060851927,ncx
spatial,0.0,7,53.96825396825397,0.6227180527383367,ncx
spatial,100.0,7,58.73015873015873,0.6379310344827586,ncx
spatial,200.0,7,55.555555555555564,0.6359026369168356,ncx
spatial,400.0,7,58.73015873015873,0.6551724137931034,ncx
spatial,800.0,7,53.96825396825397,0.6318458417849898,ncx
spatial,1600.0,7,55.555555555555564,0.6196754563894524,ncx
temporal,0.0,7,55.555555555555564,0.7545638945233265,ncx
temporal,100.0,7,60.317460317460316,0.6683569979716024,ncx
temporal,200.0,7,61.904761904761905,0.7332657200811359,ncx
temporal,400.0,7,63.492063492063494,0.7352941176470588,ncx
temporal,800.0,7,60.317460317460316,0.7413793103448275,ncx
temporal,1600.0,7,68.25396825396825,0.7292089249492899,ncx
morphological,0.0,7,98.41269841269842,0.9969574036511156,ncx
morphological,100.0,7,98.41269841269842,0.9959432048681542,ncx
morphological,200.0,7,98.41269841269842,0.9959432048681542,ncx
morphological,400.0,7,98.41269841269842,0.9969574036511156,ncx
morphological,800.0,7,98.41269841269842,0.9969574036511156,ncx
morphological,1600.0,7,98.41269841269842,0.9979716024340772,ncx
spatial,0.0,8,53.96825396825397,0.6713995943204868,ncx
spatial,100.0,8,61.904761904761905,0.6987829614604462,ncx
spatial,200.0,8,60.317460317460316,0.6855983772819472,ncx
spatial,400.0,8,61.904761904761905,0.6957403651115618,ncx
spatial,800.0,8,57.14285714285714,0.6744421906693712,ncx
spatial,1600.0,8,57.14285714285714,0.6825557809330628,ncx
temporal,0.0,8,53.96825396825397,0.7647058823529411,ncx
temporal,100.0,8,60.317460317460316,0.6795131845841785,ncx
temporal,200.0,8,61.904761904761905,0.7251521298174441,ncx
temporal,400.0,8,65.07936507936508,0.7494929006085191,ncx
temporal,800.0,8,61.904761904761905,0.7373225152129816,ncx
temporal,1600.0,8,66.66666666666667,0.7444219066937119,ncx
morphological,0.0,8,96.82539682539681,0.9934077079107504,ncx
morphological,100.0,8,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,8,98.41269841269842,0.9929006085192698,ncx
morphological,400.0,8,98.41269841269842,0.9939148073022313,ncx
morphological,800.0,8,98.41269841269842,0.984787018255578,ncx
morphological,1600.0,8,98.41269841269842,0.9989858012170384,ncx
spatial,0.0,9,55.555555555555564,0.6394523326572008,ncx
spatial,100.0,9,63.492063492063494,0.7028397565922919,ncx
spatial,200.0,9,61.904761904761905,0.6551724137931034,ncx
spatial,400.0,9,58.73015873015873,0.6460446247464502,ncx
spatial,800.0,9,58.73015873015873,0.6582150101419879,ncx
spatial,1600.0,9,60.317460317460316,0.6703853955375254,ncx
temporal,0.0,9,58.73015873015873,0.718052738336714,ncx
temporal,100.0,9,57.14285714285714,0.6561866125760649,ncx
temporal,200.0,9,66.66666666666667,0.7363083164300203,ncx
temporal,400.0,9,74.60317460317461,0.7464503042596349,ncx
temporal,800.0,9,66.66666666666667,0.7565922920892494,ncx
temporal,1600.0,9,69.84126984126982,0.7647058823529411,ncx
morphological,0.0,9,96.82539682539681,0.9969574036511156,ncx
morphological,100.0,9,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,9,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,9,98.41269841269842,0.9969574036511156,ncx
morphological,800.0,9,98.41269841269842,0.9949290060851926,ncx
morphological,1600.0,9,98.41269841269842,0.995943204868154,ncx
spatial,0.0,10,52.38095238095239,0.6485801217038539,ncx
spatial,100.0,10,63.492063492063494,0.7008113590263692,ncx
spatial,200.0,10,61.904761904761905,0.6501014198782962,ncx
spatial,400.0,10,60.317460317460316,0.6602434077079108,ncx
spatial,800.0,10,53.96825396825397,0.6511156186612576,ncx
spatial,1600.0,10,61.904761904761905,0.665314401622718,ncx
temporal,0.0,10,58.73015873015873,0.7150101419878296,ncx
temporal,100.0,10,57.14285714285714,0.6612576064908722,ncx
temporal,200.0,10,66.66666666666667,0.7200811359026369,ncx
temporal,400.0,10,74.60317460317461,0.7505070993914807,ncx
temporal,800.0,10,69.84126984126982,0.7444219066937119,ncx
temporal,1600.0,10,68.25396825396825,0.7494929006085191,ncx
morphological,0.0,10,98.41269841269842,0.9969574036511156,ncx
morphological,100.0,10,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,10,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,10,98.41269841269842,0.9959432048681542,ncx
morphological,800.0,10,98.41269841269842,0.9939148073022313,ncx
morphological,1600.0,10,98.41269841269842,0.995943204868154,ncx
spatial,0.0,11,58.73015873015873,0.6724137931034482,ncx
spatial,100.0,11,61.904761904761905,0.6886409736308317,ncx
spatial,200.0,11,57.14285714285714,0.6511156186612577,ncx
spatial,400.0,11,55.555555555555564,0.6724137931034482,ncx
spatial,800.0,11,57.14285714285714,0.6551724137931034,ncx
spatial,1600.0,11,57.14285714285714,0.6490872210953346,ncx
temporal,0.0,11,61.904761904761905,0.7322515212981744,ncx
