,recording,shank,id,label,spike_prop,time_prop
0,m649r1_16,1.0,9.0,-1.0,0.90162224797219,0.10548450596298682
1,m649r1_16,1.0,5.0,1.0,0.9701952723535457,0.10738314162380869
2,m649r1_16,1.0,6.0,-1.0,0.9649984648449493,0.10780210201008197
3,m649r1_16,1.0,7.0,1.0,0.9666629992298382,0.10664470174745799
4,m649r1_17,1.0,22.0,0.0,0.8643494765562443,0.07627633733924685
5,m649r1_17,1.0,23.0,-1.0,0.9748605677183052,0.07627787537442583
6,m649r1_17,1.0,27.0,-1.0,0.9730581987165302,0.07627782536636489
7,m649r1_17,1.0,20.0,-1.0,0.9587871350411618,0.07628140808946353
8,m649r1_17,1.0,25.0,-1.0,0.9660089686098655,0.07628499952768888
9,m649r1_17,1.0,3.0,-1.0,0.9653342766183233,0.07630325721352312
10,m649r1_17,1.0,5.0,-1.0,0.9606040709126723,0.07643277293610656
11,m649r1_17,1.0,19.0,-1.0,0.9838185511171293,0.07703825327255275
12,m649r1_17,1.0,7.0,1.0,0.9656532197641863,0.0766898037936757
13,m649r1_17,1.0,2.0,-1.0,0.9843406593406593,0.07723122597989966
14,m649r1_17,1.0,4.0,-1.0,0.9831081081081081,0.07643476003394387
15,m649r1_17,1.0,6.0,-1.0,0.9727339047966441,0.08934039327963939
16,m649r1_19,1.0,16.0,-1.0,0.9709201388888888,0.03589062406929762
17,m649r1_19,1.0,15.0,1.0,0.9476669716376944,0.03565146359496626
18,m649r1_19,1.0,5.0,-1.0,0.9907235621521335,0.03578697216338628
19,m649r1_19,1.0,2.0,-1.0,0.9874369711990428,0.03558463687972112
20,m649r1_19,1.0,3.0,1.0,0.995455969915387,0.03563569768432545
21,m649r1_19,1.0,4.0,-1.0,0.9964503042596349,0.03685072948086193
22,m649r1_21,1.0,19.0,-1.0,0.9464076636508781,0.0657964210980467
23,m649r1_21,1.0,11.0,1.0,0.9721610569361434,0.0659962677656438
24,m649r1_21,1.0,16.0,1.0,0.9671604357708284,0.06630171810787296
25,m649r1_21,1.0,13.0,-1.0,0.9338482867894633,0.06587786948380024
26,m649r1_21,1.0,2.0,-1.0,0.9309623430962343,0.07126184596599186
27,m649r1_21,1.0,3.0,-1.0,0.9539586919104991,0.06641382435273328
28,m649r1_22,1.0,20.0,1.0,0.9675745580140994,0.07033956752134578
29,m649r1_22,1.0,18.0,-1.0,0.9441894793134237,0.07033247580051091
30,m649r1_22,1.0,21.0,1.0,0.9698438341410878,0.07040939237267665
31,m649r1_22,1.0,11.0,-1.0,0.9643611776306522,0.07033899980575042
32,m649r1_22,1.0,16.0,-1.0,0.95481134334485,0.07033845149189456
33,m649r1_22,1.0,22.0,-1.0,0.9508821453775582,0.07034247755953495
34,m649r1_22,1.0,4.0,-1.0,0.9505409582689336,0.0703686194191656
35,m649r1_22,1.0,19.0,-1.0,0.9613292472706378,0.07034090411330975
36,m649r1_22,1.0,6.0,-1.0,0.9445686186857398,0.07042794013081748
37,m649r1_22,1.0,12.0,-1.0,0.9565131837859111,0.07034523125981743
38,m649r1_22,1.0,2.0,-1.0,0.9357306809487376,0.07059849184968968
39,m649r1_22,1.0,3.0,-1.0,0.9441051650967809,0.07038020456032722
